Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,ORD_00001,2022-08-17,2022-08-19,First Class,CUST_0380,Customer 5506,Consumer,United States,Los Angeles,FL,76237,West,PROD_OFF_9935,Office Supplies,Pen,Pen - Model 716,299.34,1,0.0,32.61
2,ORD_00002,2022-02-24,2022-03-06,First Class,CUST_0102,Customer 9928,Corporate,United States,Chicago,FL,23396,Central,PROD_OFF_1106,Office Supplies,Binder,Binder - Model 194,633.76,2,0.1,116.21
3,ORD_00003,2024-02-18,2024-02-21,Second Class,CUST_0184,Customer 6635,Home Office,United States,Philadelphia,PA,91070,East,PROD_OFF_9785,Office Supplies,Stapler,Stapler - Model 982,413.8,1,0.15,51.16
4,ORD_00004,2024-01-11,2024-01-16,Second Class,CUST_0361,Customer 2139,Consumer,United States,Los Angeles,FL,97841,South,PROD_TEC_2654,Technology,Desktop,Desktop - Model 373,526.35,4,0.1,78.32
5,ORD_00005,2022-05-27,2022-05-31,Standard,CUST_0274,Customer 5010,Consumer,United States,Chicago,GA,62581,Central,PROD_FUR_4598,Furniture,Sofa,Sofa - Model 374,1268.99,3,0.0,214.1
6,ORD_00006,2022-05-16,2022-05-21,Same Day,CUST_0468,Customer 6155,Consumer,United States,Phoenix,GA,62350,Central,PROD_OFF_3340,Office Supplies,Stapler,Stapler - Model 470,188.21,3,0.2,49.25
7,ORD_00007,2023-03-26,2023-03-30,Same Day,CUST_0261,Customer 9085,Consumer,United States,Phoenix,NY,42953,East,PROD_TEC_3621,Technology,Scanner,Scanner - Model 666,1027.62,4,0.15,220.41
8,ORD_00008,2022-01-24,2022-01-27,First Class,CUST_0350,Customer 9797,Corporate,United States,Phoenix,IL,23947,East,PROD_FUR_3591,Furniture,Cabinet,Cabinet - Model 991,41.72,4,0.1,16.34
9,ORD_00009,2023-09-04,2023-09-14,Second Class,CUST_0312,Customer 4258,Consumer,United States,Chicago,IL,41385,West,PROD_OFF_1009,Office Supplies,File Folder,File Folder - Model 159,844.18,5,0.0,112.75
10,ORD_00010,2023-05-09,2023-05-12,Same Day,CUST_0044,Customer 8962,Consumer,United States,Los Angeles,MI,80686,West,PROD_TEC_8787,Technology,Scanner,Scanner - Model 873,363.65,5,0.2,131.54
11,ORD_00011,2023-02-16,2023-02-22,First Class,CUST_0205,Customer 7118,Corporate,United States,New York,MI,19305,Central,PROD_TEC_4681,Technology,Desktop,Desktop - Model 824,140.53,1,0.2,37.41
12,ORD_00012,2022-05-01,2022-05-06,First Class,CUST_0035,Customer 1514,Corporate,United States,Houston,CA,63354,West,PROD_FUR_8953,Furniture,Sofa,Sofa - Model 294,438.76,2,0.2,119.72
13,ORD_00013,2022-07-13,2022-07-16,Standard,CUST_0338,Customer 8062,Corporate,United States,Los Angeles,OH,35112,Central,PROD_FUR_1887,Furniture,Sofa,Sofa - Model 294,35.73,1,0.1,12.15
14,ORD_00014,2024-07-07,2024-07-11,Standard,CUST_0217,Customer 4006,Corporate,United States,Los Angeles,GA,31798,West,PROD_TEC_2604,Technology,Phone,Phone - Model 516,263.64,1,0.2,92.49
15,ORD_00015,2024-09-21,2024-09-30,Same Day,CUST_0110,Customer 7570,Consumer,United States,Los Angeles,TX,34890,Central,PROD_TEC_5345,Technology,Phone,Phone - Model 403,479.27,4,0.2,143.09
16,ORD_00016,2023-03-22,2023-03-24,Standard,CUST_0297,Customer 9883,Consumer,United States,Los Angeles,IL,18981,East,PROD_TEC_8811,Technology,Printer,Printer - Model 709,1842.0,5,0.2,271.2
